corpus,model,context,aspect,mae,mae_std,n_runs,n_samples
fora,gemini-2.5-flash,full,CIG,0.5631877884274051,0.009617477589026681,3,313
fora,gemini-2.5-flash,memory,CIG,0.5599929002484912,0.004376580761781291,3,313
fora,gemini-2.5-flash,no_knowledge,CIG,0.6537096201632943,0.050202824365392126,3,313
fora,gemini-2.5-flash,short_prior,CIG,0.5880369187078452,0.026664269731223142,3,313
fora,gemini-2.5-flash,summary,CIG,0.5891018814341499,0.011579344288462969,3,313
fora,gpt-5,full,CIG,0.5124245651402201,0.006409467548905869,3,313
fora,gpt-5,memory,CIG,0.5312389066382678,0.017506323047125214,3,313
fora,gpt-5,no_knowledge,CIG,0.5944266950656728,0.018696761210172073,3,313
fora,gpt-5,short_prior,CIG,0.5724174653887114,0.007117478756039566,3,313
fora,gpt-5,summary,CIG,0.5202342917997871,0.01858860839415841,3,313
fora,gpt-5-mini,full,CIG,0.5511182108626199,0.006564871142671962,3,313
fora,gpt-5-mini,memory,CIG,0.5908768193113242,0.004789044218399734,3,313
fora,gpt-5-mini,no_knowledge,CIG,0.6455449059282925,0.020062294854021744,3,313
fora,gpt-5-mini,short_prior,CIG,0.6224707135250266,0.01745586205629285,3,313
fora,gpt-5-mini,summary,CIG,0.5688675896343628,0.01394879851216794,3,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,full,CIG,0.6224707135250267,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,CIG,0.6427050053248137,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,CIG,0.6192758253461129,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,CIG,0.5351437699680511,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,CIG,0.578807241746539,0.0,1,313
fora,gemini-2.5-flash,full,Novelty,0.6155484558040468,0.0118190073231001,3,313
fora,gemini-2.5-flash,memory,Novelty,0.5431309904153355,0.018946162805811708,3,313
fora,gemini-2.5-flash,no_knowledge,Novelty,0.6320553780617678,0.03468357596897192,3,313
fora,gemini-2.5-flash,short_prior,Novelty,0.5695775647852325,0.00978311237452658,3,313
fora,gemini-2.5-flash,summary,Novelty,0.5848420305289315,0.011869544549024095,3,313
fora,gpt-5,full,Novelty,0.5560880369187079,0.016094292632632803,3,313
fora,gpt-5,memory,Novelty,0.5736599219027334,0.007148395656940811,3,313
fora,gpt-5,no_knowledge,Novelty,0.7002129925452608,0.004539123838318906,3,313
fora,gpt-5,short_prior,Novelty,0.6198083067092651,0.017439611444184055,3,313
fora,gpt-5,summary,Novelty,0.5560880369187079,0.013261054912568581,3,313
fora,gpt-5-mini,full,Novelty,0.5738374156904509,0.025090114004551533,3,313
fora,gpt-5-mini,memory,Novelty,0.5573304934327298,0.01422388747578918,3,313
fora,gpt-5-mini,no_knowledge,Novelty,0.5415335463258785,0.014762959767077265,3,313
fora,gpt-5-mini,short_prior,Novelty,0.5385161519346822,0.012929054917624635,3,313
fora,gpt-5-mini,summary,Novelty,0.6169684061057862,0.012299691969521053,3,313
