corpus,conversation_id,segment_id,task_id,base_task_id,utterance_id,utterance_index,role,aspect,label_value,label_source,source_id,model,context_type,label_kind,n_raters,y_cont,w_conf,lo,hi,p1,p2,p3,p4,skipped,context_source
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2243,15,for,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2244,16,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2246,18,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2247,19,for,CIG,1,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2248,20,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2249,21,for,CIG,1,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2251,23,for,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2252,24,for,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2253,25,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2254,26,for,CIG,4,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2306,76,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2308,78,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2310,80,against,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2312,81,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2314,83,against,CIG,1,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2316,85,for,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2318,87,for,CIG,4,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2365,133,for,CIG,1,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2366,134,against,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2369,137,for,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2374,142,for,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2375,143,against,CIG,1,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2377,145,against,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2379,147,against,CIG,4,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,7,insq_2228_7_info,insq_2228_7,2381,149,against,CIG,3,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,7,insq_2228_7_info,insq_2228_7,2383,151,for,CIG,2,human_individual,annotator_087,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2243,15,for,CIG,4,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2244,16,against,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2246,18,against,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2247,19,for,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2248,20,against,CIG,2,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2249,21,for,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2251,23,for,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2252,24,for,CIG,3,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2253,25,against,CIG,2,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_info,insq_2228_0,2254,26,for,CIG,4,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2306,76,against,CIG,2,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2308,78,against,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2310,80,against,CIG,3,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2312,81,against,CIG,3,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2314,83,against,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2316,85,for,CIG,2,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,3,insq_2228_3_info,insq_2228_3,2318,87,for,CIG,3,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2365,133,for,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2366,134,against,CIG,2,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2369,137,for,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2374,142,for,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2375,143,against,CIG,1,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2377,145,against,CIG,3,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,6,insq_2228_6_info,insq_2228_6,2379,147,against,CIG,4,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,7,insq_2228_7_info,insq_2228_7,2381,149,against,CIG,4,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,7,insq_2228_7_info,insq_2228_7,2383,151,for,CIG,3,human_individual,annotator_088,,info,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2243,15,for,Novelty,3,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2243,15,for,Relevance,3,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2243,15,for,Scope,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2244,16,against,Novelty,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2244,16,against,Relevance,4,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2244,16,against,Scope,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2246,18,against,Novelty,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2246,18,against,Relevance,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2246,18,against,Scope,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2247,19,for,Novelty,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2247,19,for,Relevance,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2247,19,for,Scope,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2248,20,against,Novelty,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2248,20,against,Relevance,3,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2248,20,against,Scope,3,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2249,21,for,Novelty,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2249,21,for,Relevance,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2249,21,for,Scope,1,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2251,23,for,Novelty,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2251,23,for,Relevance,3,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2251,23,for,Scope,2,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
insq,insq_2228,0,insq_2228_0_mix,insq_2228_0,2252,24,for,Novelty,3,human_individual,annotator_088,,mix,raw_rating,,,,,,,,,,False,annotation_release_task
